Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  us/call  us/call  name    
  0.00      0.08     0.00       40     0.00     0.00  std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >::_M_head(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >&)
  0.00      0.08     0.00       40     0.00     0.00  std::__uniq_ptr_impl<AntT, std::default_delete<AntT> >::_M_ptr()
  0.00      0.08     0.00       40     0.00     0.00  AntT*& std::__get_helper<0ul, AntT*, std::default_delete<AntT> >(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >&)
  0.00      0.08     0.00       40     0.00     0.00  std::tuple_element<0ul, std::tuple<AntT*, std::default_delete<AntT> > >::type& std::get<0ul, AntT*, std::default_delete<AntT> >(std::tuple<AntT*, std::default_delete<AntT> >&)
  0.00      0.08     0.00       39     0.00     0.00  std::vector<std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >::operator[](unsigned long)
  0.00      0.08     0.00       36     0.00     0.00  std::__new_allocator<char>::deallocate(char*, unsigned long)
  0.00      0.08     0.00       36     0.00     0.00  std::__new_allocator<char>::allocate(unsigned long, void const*)
  0.00      0.08     0.00       34     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      0.08     0.00       34     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::~basic_string()
  0.00      0.08     0.00       33     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char>&&)
  0.00      0.08     0.00       32     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator()
  0.00      0.08     0.00       31     0.00     0.00  void std::vector<Position, std::allocator<Position> >::_M_realloc_append<Position>(Position&&)
  0.00      0.08     0.00       31     0.00     0.00  void std::__relocate_object_a<std::vector<Position, std::allocator<Position> >, std::vector<Position, std::allocator<Position> >, std::allocator<std::vector<Position, std::allocator<Position> > > >(std::vector<Position, std::allocator<Position> >*, std::vector<Position, std::allocator<Position> >*, std::allocator<std::vector<Position, std::allocator<Position> > >&)
  0.00      0.08     0.00       30     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::length() const
  0.00      0.08     0.00       28     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_allocate(unsigned long)
  0.00      0.08     0.00       28     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
