Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      7.77     0.00      300     0.00     0.00  std::__uniq_ptr_impl<AntT, std::default_delete<AntT> >::_M_ptr() const
  0.00      7.77     0.00      300     0.00     0.00  std::_Head_base<0ul, AntT*, false>::_M_head(std::_Head_base<0ul, AntT*, false> const&)
  0.00      7.77     0.00      300     0.00     0.00  std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >::_M_head(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> > const&)
  0.00      7.77     0.00      300     0.00     0.00  std::vector<std::unique_ptr<AntT, std::default_delete<AntT> >, std::allocator<std::unique_ptr<AntT, std::default_delete<AntT> > > >::operator[](unsigned long)
  0.00      7.77     0.00      300     0.00     0.00  AntT* const& std::__get_helper<0ul, AntT*, std::default_delete<AntT> >(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> > const&)
  0.00      7.77     0.00      300     0.00     0.00  std::tuple_element<0ul, std::tuple<AntT*, std::default_delete<AntT> > >::type const& std::get<0ul, AntT*, std::default_delete<AntT> >(std::tuple<AntT*, std::default_delete<AntT> > const&)
  0.00      7.77     0.00      111     0.00     0.00  Position& std::vector<Position, std::allocator<Position> >::emplace_back<Position>(Position&&)
  0.00      7.77     0.00      111     0.00     0.00  std::vector<Position, std::allocator<Position> >::push_back(Position&&)
  0.00      7.77     0.00      110     0.00     0.00  std::vector<Position, std::allocator<Position> >::_M_erase_at_end(Position*)
  0.00      7.77     0.00      100     0.00     2.05  AntT::restartPath()
  0.00      7.77     0.00      100     0.00    54.96  AntT::findSolution()
  0.00      7.77     0.00      100     0.00     0.00  GraphT::updateTdiValues(std::vector<Position, std::allocator<Position> > const&)
  0.00      7.77     0.00       97     0.00     0.00  void std::_Construct<std::pair<int, int>, std::pair<int, int> const&>(std::pair<int, int>*, std::pair<int, int> const&)
  0.00      7.77     0.00       43     0.00     0.00  std::__new_allocator<char>::~__new_allocator()
  0.00      7.77     0.00       42     0.00     0.00  std::_Vector_base<char, std::allocator<char> >::_M_get_Tp_allocator()
  0.00      7.77     0.00       40     0.00     0.00  std::_Head_base<0ul, AntT*, false>::_M_head(std::_Head_base<0ul, AntT*, false>&)
  0.00      7.77     0.00       40     0.00     0.00  std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >::_M_head(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >&)
  0.00      7.77     0.00       40     0.00     0.00  std::__uniq_ptr_impl<AntT, std::default_delete<AntT> >::_M_ptr()
  0.00      7.77     0.00       40     0.00     0.00  AntT*& std::__get_helper<0ul, AntT*, std::default_delete<AntT> >(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >&)
