Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     17.99     0.00       97     0.00     0.00  void std::_Construct<std::pair<int, int>, std::pair<int, int> const&>(std::pair<int, int>*, std::pair<int, int> const&)
  0.00     17.99     0.00       84     0.00     0.00  std::_Bit_iterator::_Bit_iterator()
  0.00     17.99     0.00       62     0.00     0.00  std::__new_allocator<unsigned long>::~__new_allocator()
  0.00     17.99     0.00       61     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00     17.99     0.00       42     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_Bvector_impl_data()
  0.00     17.99     0.00       42     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_S_nword(unsigned long)
  0.00     17.99     0.00       40     0.00     0.00  std::_Head_base<0ul, AntT*, false>::_M_head(std::_Head_base<0ul, AntT*, false>&)
  0.00     17.99     0.00       40     0.00     0.00  std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >::_M_head(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >&)
  0.00     17.99     0.00       40     0.00     0.00  std::__uniq_ptr_impl<AntT, std::default_delete<AntT> >::_M_ptr()
  0.00     17.99     0.00       40     0.00     0.00  AntT*& std::__get_helper<0ul, AntT*, std::default_delete<AntT> >(std::_Tuple_impl<0ul, AntT*, std::default_delete<AntT> >&)
  0.00     17.99     0.00       40     0.00     0.00  unsigned long* std::__miter_base<unsigned long*>(unsigned long*)
  0.00     17.99     0.00       40     0.00     0.00  std::_Bit_const_iterator std::__miter_base<std::_Bit_const_iterator>(std::_Bit_const_iterator)
  0.00     17.99     0.00       40     0.00     0.00  std::tuple_element<0ul, std::tuple<AntT*, std::default_delete<AntT> > >::type& std::get<0ul, AntT*, std::default_delete<AntT> >(std::tuple<AntT*, std::default_delete<AntT> >&)
  0.00     17.99     0.00       37     0.00     0.00  std::mersenne_twister_engine<unsigned long, 32ul, 624ul, 397ul, 31ul, 2567483615ul, 11ul, 4294967295ul, 7ul, 2636928640ul, 15ul, 4022730752ul, 18ul, 1812433253ul>::_M_gen_rand()
  0.00     17.99     0.00       30     0.00     0.00  void std::_Destroy<std::vector<Position, std::allocator<Position> > >(std::vector<Position, std::allocator<Position> >*)
  0.00     17.99     0.00       25     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::_Vector_impl(std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl&&)
  0.00     17.99     0.00       25     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl_data::_Vector_impl_data(std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl_data&&)
  0.00     17.99     0.00       25     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_base(std::_Vector_base<Position, std::allocator<Position> >&&)
  0.00     17.99     0.00       25     0.00     0.00  std::vector<Position, std::allocator<Position> >::vector(std::vector<Position, std::allocator<Position> >&&)
  0.00     17.99     0.00       22     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_M_end_addr() const
  0.00     17.99     0.00       21     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_impl::_Vector_impl(std::allocator<Position> const&)
  0.00     17.99     0.00       21     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_M_create_storage(unsigned long)
  0.00     17.99     0.00       21     0.00     0.00  std::_Vector_base<Position, std::allocator<Position> >::_Vector_base(unsigned long, std::allocator<Position> const&)
  0.00     17.99     0.00       21     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00     17.99     0.00       21     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_allocate(unsigned long)
  0.00     17.99     0.00       21     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::_Bvector_impl(std::allocator<unsigned long> const&)
  0.00     17.99     0.00       21     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl::~_Bvector_impl()
  0.00     17.99     0.00       21     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_deallocate()
  0.00     17.99     0.00       21     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_impl_data::_M_reset()
  0.00     17.99     0.00       21     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_Bvector_base(std::allocator<bool> const&)
  0.00     17.99     0.00       21     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::~_Bvector_base()
  0.00     17.99     0.00       21     0.00     0.00  std::__new_allocator<bool>::~__new_allocator()
  0.00     17.99     0.00       21     0.00     0.00  std::__new_allocator<unsigned long>::deallocate(unsigned long*, unsigned long)
  0.00     17.99     0.00       21     0.00     0.00  std::__new_allocator<unsigned long>::allocate(unsigned long, void const*)
  0.00     17.99     0.00       21     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00     17.99     0.00       21     0.00     0.00  void std::vector<Position, std::allocator<Position> >::_M_realloc_append<Position>(Position&&)
  0.00     17.99     0.00       21     0.00     0.01  std::vector<bool, std::allocator<bool> >::_M_initialize(unsigned long)
  0.00     17.99     0.00       21     0.00     0.00  std::vector<bool, std::allocator<bool> >::~vector()
  0.00     17.99     0.00       20     0.00     0.00  std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() const
  0.00     17.99     0.00       20     0.00     0.00  std::_Bvector_base<std::allocator<bool> >::_M_get_Bit_allocator() const
  0.00     17.99     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::end() const
  0.00     17.99     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::begin() const
  0.00     17.99     0.00       20     0.00     0.00  std::unique_ptr<AntT, std::default_delete<AntT> >::~unique_ptr()
  0.00     17.99     0.00       20     0.00     0.00  std::vector<Position, std::allocator<Position> >::vector(std::vector<Position, std::allocator<Position> > const&)
  0.00     17.99     0.00       20     0.00     0.04  std::vector<bool, std::allocator<bool> >::_M_copy_aligned(std::_Bit_const_iterator, std::_Bit_const_iterator, std::_Bit_iterator)
  0.00     17.99     0.00       20     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00     17.99     0.00       20     0.00     0.05  std::vector<bool, std::allocator<bool> >::vector(std::vector<bool, std::allocator<bool> > const&)
  0.00     17.99     0.00       20     0.00     0.00  std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
  0.00     17.99     0.00       20     0.00     0.00  void std::_Construct<Position, Position const&>(Position*, Position const&)
  0.00     17.99     0.00       20     0.00     0.00  void std::_Construct<std::vector<Position, std::allocator<Position> >, std::vector<Position, std::allocator<Position> > const&>(std::vector<Position, std::allocator<Position> >*, std::vector<Position, std::allocator<Position> > const&)
